ts_code,ann_date,name,gender,edu,national,birthday,position,biz_key
000002.SZ,20190508,孙嘉,M,硕士,中国,1978,高管:首席财务官(20160311~20190508);高管:财务负责人(20160311~20190508);高管:执行副总裁(20160311~20190508),孙嘉|M|1978|中国
000002.SZ,20190508,王文金,M,硕士,中国,1966,高管:首席风险官(20160311~20190508),王文金|M|1966|中国
000002.SZ,20200318,张旭,M,硕士,中国,1963,高管:首席运营官(20140328~20200317);高管:执行副总裁(20140328~20200317),张旭|M|1963|中国
000002.SZ,20200318,王文金,M,硕士,中国,1966,高管:财务负责人(20190508~20200317);高管:执行副总裁(20071026~20200317),王文金|M|1966|中国
000002.SZ,20200516,傅成玉,M,硕士,中国,1951,其他:(不明~至今),傅成玉|M|1951|中国
000002.SZ,20200701,刘姝威,F,硕士,中国,1952,董事会成员:独立董事(20170630~20230630);委员会成员:审计委员会委员(20170630~20230630),刘姝威|F|1952|中国
000002.SZ,20200701,吴嘉宁,M,硕士,中国,1960,委员会成员:薪酬与考核委员会委员(20200630~20230630);董事会成员:独立董事(20170630~20230630);委员会成员:提名委员会委员(20170630~20230630);委员会成员:审计委员会委员(20170630~20230630);委员会成员:审计委员会召集人(20170630~20230630),吴嘉宁|M|1960|中国
000002.SZ,20200701,康典,M,硕士,中国,1948,委员会成员:薪酬与考核委员会委员(20200630~20230630);委员会成员:薪酬与考核委员会召集人(20200630~20230630);董事会成员:独立董事(20170630~20230630);委员会成员:提名委员会委员(20170630~20230630);委员会成员:提名委员会召集人(20170630~20230630),康典|M|1948|中国
000002.SZ,20200701,王海武,M,硕士,中国,1978,董事会成员:董事(20200630~20230630);委员会成员:投资委员会委员(20200630~20230630),王海武|M|1978|中国
000002.SZ,20200701,辛杰,M,硕士,中国,1966,委员会成员:投资委员会委员(20200630~20230630),辛杰|M|1966|中国
000002.SZ,20200701,阙东武,F,硕士,中国,1966,监事:职工监事(20200630~20230621),阙东武|F|1966|中国
000002.SZ,20210420,唐绍杰,M,硕士,中国,1968,董事会成员:董事(20200630~20210419),唐绍杰|M|1968|中国
000002.SZ,20210624,王海武,M,硕士,中国,1978,高管:首席运营官(20200407~20210623);高管:执行副总裁(20200407~20210623),王海武|M|1978|中国
000002.SZ,20211013,李强强,M,硕士,中国,1977,董事会成员:董事(20200630~20211012);委员会成员:审计委员会委员(20200630~20211012),李强强|M|1977|中国
000002.SZ,20230622,王蕴,F,硕士,中国,1975,董事会成员:职工董事(20230621~至今),王蕴|F|1975|中国
000002.SZ,20230701,廖子彬,M,本科,中国,1962,董事会成员:独立非执行董事(20230630~至今);委员会成员:审计委员会委员(20230630~至今);委员会成员:审计委员会召集人(20230630~至今),廖子彬|M|1962|中国
000002.SZ,20230701,张懿宸,M,本科,中国,1963,董事会成员:独立非执行董事(20200630~至今);委员会成员:投资委员会委员(20200630~至今);委员会成员:投资委员会召集人(20200630~至今),张懿宸|M|1963|中国
000002.SZ,20230701,林明彦,M,本科,中国,1963,委员会成员:薪酬与考核委员会委员(20230630~至今);董事会成员:独立非执行董事(20230630~至今);委员会成员:提名委员会委员(20230630~至今);委员会成员:审计委员会委员(20230630~至今),林明彦|M|1963|中国
000002.SZ,20230701,沈向洋,M,博士,中国,1966,委员会成员:薪酬与考核委员会委员(20230630~至今);委员会成员:薪酬与考核委员会召集人(20230630~至今);董事会成员:独立非执行董事(20230630~至今);委员会成员:提名委员会委员(20230630~至今);委员会成员:提名委员会召集人(20230630~至今),沈向洋|M|1966|中国
000002.SZ,20230701,胡国斌,M,博士,中国,1965,董事会成员:非执行董事(20200630~至今);委员会成员:薪酬与考核委员会委员(20200630~至今);委员会成员:提名委员会委员(20200630~至今),胡国斌|M|1965|中国
000002.SZ,20230701,辛杰,M,硕士,中国,1966,董事会成员:非执行董事(20200630~至今),辛杰|M|1966|中国
000002.SZ,20230701,郁亮,M,硕士,中国,1965,董事会成员:执行董事(19940524~至今),郁亮|M|1965|中国
000002.SZ,20230701,雷江松,M,硕士,中国,1970,董事会成员:非执行董事(20211126~至今);委员会成员:投资委员会委员(20230630~至今),雷江松|M|1970|中国
000002.SZ,20230701,韩慧华,F,硕士,中国,1982,高管:财务负责人(20200317~至今);高管:执行副总裁(20200317~至今),韩慧华|F|1982|中国
000002.SZ,20230701,黄力平,M,硕士,中国,1968,董事会成员:非执行董事(20210630~至今);委员会成员:审计委员会委员(20230630~至今),黄力平|M|1968|中国
000002.SZ,20250628,栗淼,M,硕士,中国,1973,监事:监事(20200630~20250627),栗淼|M|1973|中国
000002.SZ,20250628,潘樟良,M,本科,中国,1980,监事:职工监事(20230621~20250627),潘樟良|M|1980|中国
000002.SZ,20250628,解冻,M,博士,中国,1965,监事:监事会主席(20140328~20250627);监事:监事(20140328~20250627),解冻|M|1965|中国
000002.SZ,20251013,辛杰,M,硕士,中国,1966,董事会成员:非执行董事(20200630~20251012);董事会成员:董事会主席(20250127~20251012);高管:法定代表人(20250127~20251012),辛杰|M|1966|中国
